id_plant,bird_sp,mean.sde.qtc,median.sde.qtc,mean.sde.qlc,median.sde.qlc,mean.rpe.qtc,median.rpe.qtc,mean.rpe.qlc,median.rpe.qlc,initcrop,area,median.sde.qlc.FR,median.sde.qlc.NF,median.sde.qlc.OA,median.sde.qlc.PP,median.sde.qlc.PL,mean.sde,median.sde,mean.rpe,median.rpe
306,Fringilla coelebs,19.853622420694716,11.495414453278041,3.61415675866866e-7,1.369457345338775e-7,19.82525628914806,11.476694719675663,0.33926197733400004,0.33735357600000004,31837,13.12043,4.254221629727525e-9,7.036924196885696e-9,0,4.279549861035402e-8,8.467353240461628e-9,7.53066746416991e-6,1.5845247986207066e-6,6.701995288014612,3.8607482484364164
306,Parus major,25.37874825696944,15.351815288040369,0,0,25.37874825696944,15.351815288040369,0.5596590449824674,0.6257709386194739,31837,13.12043,0,0,0,0,0,0,0,14.039905408973636,8.022276070333971
306,Sylvia atricapilla,538.1146284306998,395.3334194280818,2.512904107683327e-4,1.1212062119435121e-4,538.1146284306998,395.3334194280818,0.5596590449824674,0.6257709386194739,31837,13.12043,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.13267225017894177,0.044746622036125644,301.5778411899914,214.24889700349382
306,Sylvia communis,50.463014137751834,32.93635083219609,2.4280296176261662e-4,1.1238860546397973e-4,50.463014137751834,32.93635083219609,0.5596590449824674,0.6257709386194739,31837,13.12043,5.958001204907687e-6,9.806126158029123e-6,0,2.592852233688879e-5,7.806060740705224e-6,0.012120869493586248,0.0033667462678279953,28.446161860600615,18.080901936356025
306,Sylvia hortensis,31.024969162693868,19.164512692725985,2.2135231715431224e-4,9.751978724161525e-5,31.024969162693868,19.164512692725985,0.5596590449824674,0.6257709386194739,31837,13.12043,6.603642976247119e-6,8.21356052428392e-6,0,1.4884290288933521e-5,1.0636776915591313e-5,0.00702879557885547,0.0017846499392260246,17.4172446578759,9.907542474157715
306,Sylvia melanocephala,1586.4359241242223,1218.9239224634143,2.758235053160828e-4,1.234546262037342e-4,1586.4359241242223,1218.9239224634143,0.5596590449824674,0.6257709386194739,31837,13.12043,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.42135306471747036,0.1552891181239115,887.1708612592113,646.9957749527807
306,Turdus merula,109.12193062857271,70.53951433795663,2.2983233764980215e-4,1.0925212553075656e-4,109.12193062857271,70.53951433795663,0.5596590449824674,0.6257709386194739,31837,13.12043,7.990508348082907e-6,1.4581724203665508e-5,0,1.9761164815777694e-5,7.056127288765181e-6,0.023515844695555982,0.007563998103089233,61.68492407681221,37.42833582558539
307,Chloris chloris,1074.402527126082,549.1125756237037,2.7537064575641394e-7,7.424631924372143e-8,1072.8948096710947,548.4402395737045,0.41455458823800007,0.39227160000000005,3720,12.57142,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,2.8759682468434386e-4,4.44710328718832e-5,442.791768540089,222.90433117335263
307,Erithacus rubecula,621.9880597167698,484.8338177593686,2.3409624575358772e-4,1.0826229658836457e-4,621.9880597167698,484.8338177593686,0.3126319368217248,0.3150837278763158,3720,12.57142,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.14751067628911477,0.04805472031251687,196.11621909981977,150.96595018688066
307,Luscinia megarhynchos,9.252190808069226,4.817860348038547,2.5573807039965766e-4,1.01399246619639e-4,9.252190808069226,4.817860348038547,0.3126319368217248,0.3150837278763158,3720,12.57142,3.001608065358732e-6,4.119994126530376e-6,0,4.0258676097174326e-5,4.427483957505393e-6,0.002191828283070993,4.6328472954823227e-4,2.8467268311222127,1.4119960815490475
307,Parus major,4.879574372859825,2.058086311443422,0,0,4.879574372859825,2.058086311443422,0.3126319368217248,0.3150837278763158,3720,12.57142,0,0,0,0,0,0,0,1.5455051681727507,0.5895351442459682
307,Sylvia atricapilla,266.85197296755746,177.5780810340176,2.512904107683327e-4,1.1212062119435121e-4,266.85197296755746,177.5780810340176,0.3126319368217248,0.3150837278763158,3720,12.57142,6.364816873633279e-6,1.5597238597194234e-5,0,2.558650084852908e-5,5.7631292142662625e-6,0.06146977789950312,0.01966439014980098,83.20837740056223,53.19031991644885
307,Sylvia melanocephala,338.53227646067137,233.39490241857956,2.758235053160828e-4,1.234546262037342e-4,338.53227646067137,233.39490241857956,0.3126319368217248,0.3150837278763158,3720,12.57142,5.4679117484407735e-6,2.4530285005618512e-5,0,2.444248288171568e-5,5.8349836176086595e-6,0.0882293838856245,0.028699334553463983,106.29408110154115,71.22461359001568
307,Turdus merula,73.19934067258168,44.30583231082111,2.2983233764980215e-4,1.0925212553075656e-4,73.19934067258168,44.30583231082111,0.3126319368217248,0.3150837278763158,3720,12.57142,7.990508348082907e-6,1.4581724203665508e-5,0,1.9761164815777694e-5,7.056127288765181e-6,0.015512951105291009,0.0039649467049716735,23.175562984736754,12.684359147006532
308,Chloris chloris,1996.8195881815175,1098.5495081883082,2.7537064575641394e-7,7.424631924372143e-8,1994.03740500879,1097.4290325012169,0.26324366397000004,0.266744688,13030,17.03836,1.6847627614450971e-9,2.103936363345406e-9,0,3.150273270978323e-9,4.0760145879556933e-8,4.8771692837967204e-4,9.422253452510601e-5,528.3040534848898,285.4118088648032
308,Erithacus rubecula,1946.0941259950876,1660.8981339723668,2.3409624575358772e-4,1.0826229658836457e-4,1946.0941259950876,1660.8981339723668,0.24401989044166267,0.2681875451226317,13030,17.03836,5.977454955743971e-6,1.6348246065973942e-5,0,1.2937330138505304e-5,1.3376162203326168e-5,0.46378185875013855,0.16485654208519812,481.6935098624803,340.64354496873784
