date,bird_sp,no_fruits,visit_lenght_s,method,bodymass,bodymass.sd,gape_width,gape_width.sd,diet
2019-11-19,Sylvia melanocephala,5,65,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Erithacus rubecula,1,55,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-20,Sylvia melanocephala,4,133,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Sylvia melanocephala,2,36,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Sylvia melanocephala,1,61,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Erithacus rubecula,1,45,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-20,Sylvia melanocephala,1,71,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Sylvia melanocephala,2,122,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Sylvia melanocephala,1,62,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Chloris chloris,1,87,full_plant,23.4,NA,9,NA,SP
2019-11-20,Erithacus rubecula,3,103,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-20,Sylvia melanocephala,1,37,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-20,Sylvia undata,1,15,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
2019-11-20,Erithacus rubecula,2,56,full_plant,15.42,0.7964394449508918,7.675,0.3596416344962828,SD
2019-11-20,Sylvia melanocephala,2,57,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-25,Sylvia melanocephala,3,40,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-25,Sylvia melanocephala,2,19,full_plant,11.54,1.0683977181792026,6.425,0.24682190468347617,SD
2019-11-25,Sylvia undata,1,11,full_plant,9.05,0.8488554385497895,5.61,0.1969207398365592,SD
